CustomerID,total_spent,num_orders,total_items,last_purchase,heavy_multibuy_count,total_basket_value,avg_basket_value,days_since,segment
12347,4310.0,7,2458,2011-12-07 15:52:00,108,134181.24,737.26,1,MultiBuy
12348,1437.24,4,2332,2011-09-25 13:13:00,27,13230.0,490.0,74,MultiBuy
12349,1457.55,1,630,2011-11-21 09:51:00,28,104943.6,1457.55,18,MultiBuy
12350,294.4,1,196,2011-02-02 16:01:00,15,4710.4,294.4,309,MultiBuy
12352,1385.74,7,526,2011-11-03 14:37:00,27,17601.24,228.59,35,MultiBuy
12353,89.0,1,20,2011-05-19 17:47:00,0,356.0,89.0,203,Lapsed
12354,1079.4,1,530,2011-04-21 13:11:00,22,62605.2,1079.4,231,MultiBuy
12355,459.4,1,240,2011-05-09 13:49:00,4,5972.2,459.4,213,Lapsed
12356,2487.43,3,1573,2011-11-17 08:40:00,47,78394.06,1351.62,22,MultiBuy
12357,6207.67,1,2708,2011-11-06 16:07:00,107,813204.77,6207.67,32,MultiBuy
12358,928.06,2,242,2011-12-08 10:26:00,13,7592.66,446.63,1,MultiBuy
12359,6310.03,4,1609,2011-10-13 12:47:00,73,495069.44,2020.69,57,MultiBuy
12360,2302.06,3,1156,2011-10-18 15:22:00,52,102784.16,815.75,51,MultiBuy
12361,174.9,1,90,2011-02-25 13:51:00,7,1574.1,174.9,286,Lapsed
12362,4737.23,10,2197,2011-12-06 15:40:00,117,130440.88,509.53,2,MultiBuy
12363,552.0,2,408,2011-08-22 10:18:00,19,6555.9,285.04,109,MultiBuy
12364,1208.1,4,1499,2011-12-02 10:22:00,73,32497.74,401.21,7,MultiBuy
12365,320.69,1,173,2011-02-21 13:51:00,10,6734.49,320.69,290,MultiBuy
12367,150.9,1,172,2011-12-05 16:48:00,7,1509.0,150.9,3,Active
12370,3421.94,4,2349,2011-10-19 14:51:00,77,196982.7,1193.83,50,MultiBuy
12371,1527.96,1,582,2011-10-11 10:43:00,28,94733.52,1527.96,59,MultiBuy
12372,1196.04,3,788,2011-09-29 12:12:00,35,19773.22,403.54,71,MultiBuy
12373,324.6,1,196,2011-02-01 13:10:00,11,4219.8,324.6,310,MultiBuy
12374,622.93,1,339,2011-11-14 15:37:00,18,19933.76,622.93,24,MultiBuy
12375,377.5,2,176,2011-11-29 10:36:00,12,2839.0,189.27,10,MultiBuy
12377,1548.12,2,942,2011-01-28 15:45:00,51,61103.16,803.99,314,MultiBuy
12378,4008.62,1,2529,2011-08-02 10:34:00,111,877887.78,4008.62,129,MultiBuy
12379,777.24,2,402,2011-09-19 10:09:00,24,14767.56,388.62,81,MultiBuy
12380,2427.81,4,1110,2011-11-18 11:27:00,61,58206.68,582.07,21,MultiBuy
12381,1474.81,3,797,2011-12-05 12:44:00,38,68481.1,835.14,4,MultiBuy
12383,1628.56,5,1518,2011-06-08 08:02:00,59,43281.1,460.44,184,MultiBuy
12384,425.27,2,122,2011-11-11 08:39:00,4,5315.93,212.64,28,Repeat
12386,401.9,2,354,2011-01-06 12:37:00,8,2357.2,235.72,337,Repeat
12388,2780.66,6,1462,2011-11-24 12:30:00,58,63082.59,630.83,15,MultiBuy
12390,504.84,1,350,2011-09-21 09:33:00,14,15650.04,504.84,79,MultiBuy
12391,439.66,1,293,2011-11-18 12:07:00,10,40888.38,439.66,21,MultiBuy
12393,1582.6,4,816,2011-09-28 15:41:00,43,29523.2,461.3,71,MultiBuy
12394,1080.48,2,808,2011-10-07 08:08:00,13,10668.6,426.74,63,MultiBuy
12395,2682.63,12,2097,2011-11-20 15:21:00,76,33634.59,233.57,18,MultiBuy
12397,2214.9,2,1250,2011-11-04 09:52:00,60,137356.84,1107.72,35,MultiBuy
12398,1435.66,1,1389,2011-10-25 10:27:00,65,120595.44,1435.66,45,MultiBuy
12399,1033.65,4,1173,2011-08-12 13:15:00,52,17257.99,313.78,118,MultiBuy
12401,69.3,1,10,2011-02-09 13:50:00,0,277.2,69.3,302,Lapsed
12402,195.6,1,92,2011-01-20 13:49:00,7,1956.0,195.6,322,Lapsed
12403,391.7,1,94,2011-10-21 10:51:00,3,1566.8,391.7,49,Active
12405,1390.39,1,849,2011-07-14 08:52:00,32,73690.67,1390.39,148,MultiBuy
12406,3415.3,2,1818,2011-11-17 19:22:00,93,179908.05,1713.41,21,MultiBuy
12407,1507.12,5,1403,2011-10-21 10:11:00,49,29388.52,408.17,49,MultiBuy
12408,2618.55,5,1391,2011-11-07 12:27:00,70,62525.91,619.07,32,MultiBuy
12409,11072.67,3,5551,2011-09-22 10:38:00,99,611126.23,5606.66,78,MultiBuy
12410,533.33,2,207,2011-02-04 10:39:00,10,10043.93,401.76,308,MultiBuy
12412,1142.88,3,824,2011-09-26 10:16:00,43,23243.44,400.75,74,MultiBuy
12413,686.1,3,282,2011-10-04 09:00:00,17,11705.15,325.14,66,MultiBuy
12414,442.41,3,297,2011-05-06 14:51:00,12,2123.01,141.53,216,MultiBuy
12415,124564.53,20,77373,2011-11-15 14:22:00,647,10290677.72,14432.93,23,MultiBuy
12417,3226.1,9,1527,2011-12-06 14:52:00,56,69376.86,379.11,2,MultiBuy
12418,668.58,1,407,2011-08-19 11:08:00,17,22731.72,668.58,112,MultiBuy
12420,600.39,1,345,2011-10-07 08:55:00,8,17411.31,600.39,63,Active
12421,639.04,4,478,2011-11-24 09:07:00,23,6639.49,161.94,15,MultiBuy
12422,683.56,3,367,2011-09-05 09:48:00,26,9337.22,245.72,95,MultiBuy
12423,1634.31,8,1324,2011-12-09 10:10:00,77,26688.98,228.11,0,MultiBuy
12424,1760.96,2,740,2011-06-30 12:06:00,24,35787.84,1192.93,162,MultiBuy
12425,777.2,1,496,2011-09-22 17:31:00,26,27979.2,777.2,77,MultiBuy
12426,510.73,1,254,2011-05-29 12:26:00,16,14811.17,510.73,194,MultiBuy
12427,699.8,3,526,2011-11-18 08:56:00,12,6716.22,239.86,21,MultiBuy
12428,6405.26,8,3509,2011-11-14 08:22:00,158,460969.9,1606.17,25,MultiBuy
12429,3388.4,4,1538,2011-11-30 17:22:00,70,80676.34,858.26,8,MultiBuy
12430,216.4,1,116,2011-10-27 15:09:00,7,2164.0,216.4,42,Active
12431,6314.95,15,2889,2011-11-04 11:55:00,96,108486.51,467.61,35,MultiBuy
12432,4359.32,4,1800,2011-10-28 11:43:00,72,212828.52,1989.05,42,MultiBuy
12433,13375.87,7,11071,2011-12-09 10:02:00,335,940098.3,2238.33,0,MultiBuy
12434,806.14,2,394,2011-09-16 12:38:00,20,22256.26,445.13,84,MultiBuy
12435,7829.89,2,2055,2011-09-21 09:06:00,34,141066.11,3918.5,79,MultiBuy
12436,429.01,1,209,2011-09-01 12:09:00,8,6435.15,429.01,99,Active
12437,4447.41,18,2894,2011-12-08 11:35:00,126,63692.53,346.16,1,MultiBuy
12438,2466.85,2,1169,2011-11-25 13:28:00,53,118408.8,1233.42,13,MultiBuy
12441,155.55,1,120,2010-12-08 10:45:00,4,1555.5,155.55,366,Lapsed
12442,144.06,1,181,2011-12-06 14:22:00,9,1584.66,144.06,2,Active
12444,4085.46,5,1130,2011-11-18 13:23:00,45,216098.52,1256.39,20,MultiBuy
12445,77.4,1,60,2011-11-17 18:43:00,3,232.2,77.4,21,Active
12446,1002.31,1,351,2011-10-13 12:50:00,15,57131.67,1002.31,57,MultiBuy
12447,431.49,1,187,2011-04-10 13:25:00,8,10787.25,431.49,242,Lapsed
12448,365.45,1,240,2011-10-26 13:46:00,13,7674.45,365.45,43,MultiBuy
12449,3596.29,4,1523,2011-11-17 13:46:00,81,173449.79,927.54,21,MultiBuy
12450,197.88,2,128,2011-07-06 14:41:00,7,803.28,100.41,155,Repeat
12451,8995.52,5,6574,2011-11-29 08:40:00,275,817170.81,2314.93,10,MultiBuy
12452,348.57,1,181,2011-11-23 08:05:00,8,6971.4,348.57,16,Active
12453,707.09,1,473,2011-07-28 14:08:00,25,30404.87,707.09,133,MultiBuy
12454,3528.34,1,1006,2011-10-14 17:13:00,15,52925.1,3528.34,55,MultiBuy
12455,2339.86,5,2084,2011-09-27 15:31:00,58,77868.94,916.11,72,MultiBuy
12456,2581.04,3,1618,2011-10-26 14:41:00,71,105911.24,868.12,43,MultiBuy
12457,2043.23,6,835,2011-10-04 13:13:00,33,37556.47,636.55,65,MultiBuy
12458,787.4,2,502,2011-09-29 15:25:00,23,14173.2,393.7,70,MultiBuy
12461,626.88,1,282,2011-07-08 10:23:00,14,21313.92,626.88,154,MultiBuy
12462,937.59,2,527,2011-11-21 09:11:00,28,30383.37,506.39,18,MultiBuy
12463,1200.78,4,768,2011-10-17 13:44:00,48,23843.56,301.82,52,MultiBuy
12464,957.05,8,95,2011-11-29 13:33:00,1,3096.1,140.73,9,Repeat
12465,682.19,2,475,2011-11-22 16:34:00,26,15698.5,348.86,16,MultiBuy
12468,657.54,2,362,2011-06-05 11:36:00,18,13854.24,384.84,187,MultiBuy
12471,17388.65,27,8092,2011-12-07 15:43:00,326,429015.27,979.49,1,MultiBuy
12472,6068.11,7,4120,2011-11-07 14:01:00,231,352959.07,1063.13,31,MultiBuy
12473,2585.73,3,2394,2011-10-17 11:27:00,117,185811.55,1161.32,53,MultiBuy
12474,6694.09,18,4798,2011-11-22 14:39:00,261,209031.19,514.86,16,MultiBuy
12475,669.38,1,532,2011-10-17 10:10:00,21,23428.3,669.38,53,MultiBuy
12476,5898.42,11,2357,2011-11-24 12:40:00,104,205516.16,917.48,15,MultiBuy
12477,13219.74,6,3653,2011-11-17 09:51:00,161,790601.71,2635.34,22,MultiBuy
