CustomerID,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_score,Segment,Frequency_capped
12383,185,5,1628.56,1,3,3,133,Dormant Customers,5
12414,217,3,442.41,1,3,2,132,Dormant Customers,3
12601,190,5,487.06,1,3,2,132,Dormant Customers,5
12754,236,3,3010.7400000000002,1,3,4,134,Dormant Customers,3
12840,144,4,2726.77,1,3,4,134,Dormant Customers,4
12845,267,4,354.09000000000003,1,3,2,132,Dormant Customers,4
12868,186,6,1607.06,1,4,3,143,Dormant Customers,6
12891,186,3,331.0,1,3,2,132,Dormant Customers,3
12947,144,6,1603.99,1,4,3,143,Dormant Customers,6
12980,158,9,7374.9,1,4,4,144,Dormant Customers,9
12999,196,3,455.88,1,3,2,132,Dormant Customers,3
13093,276,8,7832.47,1,4,4,144,Dormant Customers,8
13475,191,4,1431.78,1,3,3,133,Dormant Customers,4
13533,183,3,269.09,1,3,1,131,Dormant Customers,3
13715,281,5,1077.39,1,4,3,143,Dormant Customers,5
13819,302,3,1140.35,1,3,3,133,Dormant Customers,3
13856,169,3,388.5,1,3,2,132,Dormant Customers,3
13900,183,3,740.95,1,3,3,133,Dormant Customers,3
13951,176,3,674.45,1,3,3,133,Dormant Customers,3
13963,308,4,664.54,1,3,3,133,Dormant Customers,4
14016,162,4,4291.21,1,3,4,134,Dormant Customers,4
14021,155,3,631.9,1,3,2,132,Dormant Customers,3
14161,216,3,1097.62,1,3,3,133,Dormant Customers,3
14176,297,4,576.9,1,3,2,132,Dormant Customers,4
14231,184,3,925.71,1,3,3,133,Dormant Customers,3
14267,163,3,1516.24,1,3,3,133,Dormant Customers,3
14352,157,4,1078.96,1,3,3,133,Dormant Customers,4
14450,181,3,483.25,1,3,2,132,Dormant Customers,3
14461,148,3,2102.67,1,3,4,134,Dormant Customers,3
14465,247,3,1038.44,1,3,3,133,Dormant Customers,3
14532,236,4,932.85,1,3,3,133,Dormant Customers,4
14573,180,9,1639.82,1,4,4,144,Dormant Customers,9
14584,169,4,1033.06,1,3,3,133,Dormant Customers,4
14616,243,3,406.08000000000004,1,3,2,132,Dormant Customers,3
14669,242,3,1259.24,1,3,3,133,Dormant Customers,3
14740,197,3,1448.21,1,3,3,133,Dormant Customers,3
