CustomerID,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_score,Segment,Frequency_capped
12349,19,1,1457.55,3,1,3,313,High-Value Customers,1
12352,36,7,1385.74,3,4,3,343,High-Value Customers,7
12356,23,3,2487.43,3,3,4,334,High-Value Customers,3
12357,33,1,6207.67,3,1,4,314,High-Value Customers,1
12358,2,2,928.0600000000001,4,2,3,423,High-Value Customers,2
12364,8,4,1208.1,4,3,3,433,High-Value Customers,4
12370,51,4,3421.94,3,3,4,334,High-Value Customers,4
12380,22,4,2427.81,3,3,4,334,High-Value Customers,4
12381,5,3,1474.81,4,3,3,433,High-Value Customers,3
12395,19,12,2682.63,3,4,4,344,High-Value Customers,12
12397,36,2,2214.9,3,2,4,324,High-Value Customers,2
12398,46,1,1435.66,3,1,3,313,High-Value Customers,1
12406,22,2,3415.2999999999997,3,2,4,324,High-Value Customers,2
12407,50,5,1507.12,3,3,3,333,High-Value Customers,5
12408,33,5,2618.55,3,3,4,334,High-Value Customers,5
12415,24,20,124564.53,3,4,4,344,High-Value Customers,20
12427,22,3,699.8000000000001,3,3,3,333,High-Value Customers,3
12428,26,8,6405.26,3,4,4,344,High-Value Customers,8
12429,9,4,3388.4,4,3,4,434,High-Value Customers,4
12431,36,15,6314.95,3,4,4,344,High-Value Customers,15
12432,43,4,4359.32,3,3,4,334,High-Value Customers,4
12438,14,2,2466.85,4,2,4,424,High-Value Customers,2
12444,21,5,4085.46,3,3,4,334,High-Value Customers,5
12449,22,4,3596.29,3,3,4,334,High-Value Customers,4
12451,11,5,8995.52,4,3,4,434,High-Value Customers,5
12456,44,3,2581.04,3,3,4,334,High-Value Customers,3
12462,19,2,937.59,3,2,3,323,High-Value Customers,2
12464,10,8,957.05,4,4,3,443,High-Value Customers,8
12465,17,2,682.1899999999999,4,2,3,423,High-Value Customers,2
12472,32,7,6068.11,3,4,4,344,High-Value Customers,7
12477,23,6,13219.74,3,4,4,344,High-Value Customers,6
12480,28,4,2885.63,3,3,4,334,High-Value Customers,4
12481,23,10,5003.82,3,4,4,344,High-Value Customers,10
12484,35,4,3939.32,3,3,4,334,High-Value Customers,4
12488,10,3,1244.66,4,3,3,433,High-Value Customers,3
12494,16,7,1084.1,4,4,3,443,High-Value Customers,7
12500,23,10,4056.8199999999997,3,4,4,344,High-Value Customers,10
12517,28,4,2301.6,3,3,4,334,High-Value Customers,4
12518,1,5,1840.89,4,3,4,434,High-Value Customers,5
12523,19,11,1699.77,3,4,4,344,High-Value Customers,11
12526,1,3,1172.66,4,3,3,433,High-Value Customers,3
12539,22,4,5568.35,3,3,4,334,High-Value Customers,4
12540,20,17,11580.24,3,4,4,344,High-Value Customers,17
12541,30,3,841.18,3,3,3,333,High-Value Customers,3
12546,47,2,1021.5,3,2,3,323,High-Value Customers,2
12557,16,5,11990.960000000001,4,3,4,434,High-Value Customers,5
12560,5,2,1918.01,4,2,4,424,High-Value Customers,2
12567,23,10,8609.28,3,4,4,344,High-Value Customers,10
12572,9,2,912.42,4,2,3,423,High-Value Customers,2
12576,36,5,1315.83,3,3,3,333,High-Value Customers,5
12578,21,2,2402.5099999999998,3,2,4,324,High-Value Customers,2
12594,38,9,3208.22,3,4,4,344,High-Value Customers,9
12597,19,4,3195.22,3,3,4,334,High-Value Customers,4
12599,29,7,888.5799999999999,3,4,3,343,High-Value Customers,7
12600,29,10,2311.04,3,4,4,344,High-Value Customers,10
12610,23,4,1747.54,3,3,4,334,High-Value Customers,4
12615,2,4,2093.19,4,3,4,434,High-Value Customers,4
12620,15,3,1303.41,4,3,3,433,High-Value Customers,3
12626,23,9,5954.48,3,4,4,344,High-Value Customers,9
12628,4,3,732.46,4,3,3,433,High-Value Customers,3
12630,10,2,1030.8799999999999,4,2,3,423,High-Value Customers,2
12640,24,3,994.58,3,3,3,333,High-Value Customers,3
