CustomerID,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_score,Segment,Frequency_capped
12348,75,4,1437.24,2,3,3,233,Steady Buyers,4
12359,58,4,6310.03,2,3,4,234,Steady Buyers,4
12360,52,3,2302.06,2,3,4,234,Steady Buyers,3
12363,110,2,552.0,2,2,2,222,Steady Buyers,2
12367,4,1,150.9,4,1,1,411,Steady Buyers,1
12372,72,3,1196.04,2,3,3,233,Steady Buyers,3
12374,25,1,622.93,3,1,2,312,Steady Buyers,1
12375,11,2,377.5,4,2,2,422,Steady Buyers,2
12379,82,2,777.24,2,2,3,223,Steady Buyers,2
12384,29,2,425.27,3,2,2,322,Steady Buyers,2
12391,22,1,439.66,3,1,2,312,Steady Buyers,1
12393,72,4,1582.6,2,3,3,233,Steady Buyers,4
12394,64,2,1080.48,2,2,3,223,Steady Buyers,2
12399,119,4,1033.65,2,3,3,233,Steady Buyers,4
12403,50,1,391.7,3,1,2,312,Steady Buyers,1
12409,79,3,11072.67,2,3,4,234,Steady Buyers,3
12412,75,3,1142.8799999999999,2,3,3,233,Steady Buyers,3
12413,67,3,686.1,2,3,3,233,Steady Buyers,3
12422,96,3,683.56,2,3,3,233,Steady Buyers,3
12430,43,1,216.4,3,1,1,311,Steady Buyers,1
12434,85,2,806.14,2,2,3,223,Steady Buyers,2
12435,80,2,7829.889999999999,2,2,4,224,Steady Buyers,2
12442,3,1,144.06,4,1,1,411,Steady Buyers,1
12445,22,1,77.4,3,1,1,311,Steady Buyers,1
12448,44,1,365.45,3,1,2,312,Steady Buyers,1
12452,17,1,348.57,4,1,2,412,Steady Buyers,1
12455,73,5,2339.86,2,3,4,234,Steady Buyers,5
12457,66,6,2043.23,2,4,4,244,Steady Buyers,6
12458,71,2,787.4,2,2,3,223,Steady Buyers,2
12463,53,4,1200.78,2,3,3,233,Steady Buyers,4
12473,54,3,2585.73,2,3,4,234,Steady Buyers,3
12478,4,1,545.99,4,1,2,412,Steady Buyers,1
12479,11,1,473.2,4,1,2,412,Steady Buyers,1
12491,39,1,424.4,3,1,2,312,Steady Buyers,1
12492,63,2,227.21,2,2,1,221,Steady Buyers,2
12502,96,5,2995.87,2,3,4,234,Steady Buyers,5
12504,18,2,428.05,4,2,2,422,Steady Buyers,2
12507,134,3,1052.81,2,3,3,233,Steady Buyers,3
12508,26,2,397.88,3,2,2,322,Steady Buyers,2
12510,143,2,814.57,2,2,3,223,Steady Buyers,2
12512,66,2,132.18,2,2,1,221,Steady Buyers,2
12516,78,2,1186.06,2,2,3,223,Steady Buyers,2
12520,79,5,2346.2599999999998,2,3,4,234,Steady Buyers,5
12522,39,2,156.72,3,2,1,321,Steady Buyers,2
12527,82,3,330.71,2,3,2,232,Steady Buyers,3
12530,60,4,1500.28,2,3,3,233,Steady Buyers,4
12531,15,1,125.22,4,1,1,411,Steady Buyers,1
12532,30,1,313.83,3,1,2,312,Steady Buyers,1
12535,92,2,716.35,2,2,3,223,Steady Buyers,2
12538,29,1,363.95,3,1,2,312,Steady Buyers,1
12544,36,1,316.7,3,1,2,312,Steady Buyers,1
12545,75,2,832.39,2,2,3,223,Steady Buyers,2
12552,40,1,317.82,3,1,2,312,Steady Buyers,1
12556,50,2,599.56,3,2,2,322,Steady Buyers,2
12558,8,1,269.96,4,1,1,411,Steady Buyers,1
12571,40,2,519.61,3,2,2,322,Steady Buyers,2
12581,40,1,179.71,3,1,1,311,Steady Buyers,1
12586,17,1,196.94,4,1,1,411,Steady Buyers,1
12587,8,1,104.0,4,1,1,411,Steady Buyers,1
12588,39,1,174.9,3,1,1,311,Steady Buyers,1
12589,29,2,574.68,3,2,2,322,Steady Buyers,2
12592,92,2,401.6,2,2,2,222,Steady Buyers,2
12593,109,3,382.1,2,3,2,232,Steady Buyers,3
12596,51,2,450.27,3,2,2,322,Steady Buyers,2
12603,22,1,613.2,3,1,2,312,Steady Buyers,1
12604,79,2,236.18,2,2,1,221,Steady Buyers,2
12609,78,3,964.85,2,3,3,233,Steady Buyers,3
12613,57,4,3092.38,2,3,4,234,Steady Buyers,4
12616,95,2,641.3,2,2,2,222,Steady Buyers,2
12617,29,1,352.98,3,1,2,312,Steady Buyers,1
12618,22,1,137.31,3,1,1,311,Steady Buyers,1
12624,106,2,569.13,2,2,2,222,Steady Buyers,2
12633,59,4,1929.98,2,3,4,234,Steady Buyers,4
12635,90,2,1509.18,2,2,3,223,Steady Buyers,2
12637,67,8,5804.9,2,4,4,244,Steady Buyers,8
12638,33,1,511.69,3,1,2,312,Steady Buyers,1
12643,128,6,3041.64,2,4,4,244,Steady Buyers,6
12649,107,3,569.51,2,3,2,232,Steady Buyers,3
12650,3,1,242.44,4,1,1,411,Steady Buyers,1
12658,19,1,632.05,3,1,2,312,Steady Buyers,1
12659,30,1,73.67999999999999,3,1,1,311,Steady Buyers,1
12660,11,1,227.1,4,1,1,411,Steady Buyers,1
12673,5,2,574.52,4,2,2,422,Steady Buyers,2
12679,59,4,951.02,2,3,3,233,Steady Buyers,4
12693,127,4,711.91,2,3,3,233,Steady Buyers,4
12694,70,2,761.67,2,2,3,223,Steady Buyers,2
12701,80,2,725.71,2,2,3,223,Steady Buyers,2
12702,20,1,201.0,3,1,1,311,Steady Buyers,1
12710,97,3,1023.02,2,3,3,233,Steady Buyers,3
12719,5,2,572.95,4,2,2,422,Steady Buyers,2
12722,85,4,979.63,2,3,3,233,Steady Buyers,4
12728,71,4,728.33,2,3,3,233,Steady Buyers,4
12743,134,2,540.13,2,2,2,222,Steady Buyers,2
12744,56,4,9120.39,2,3,4,234,Steady Buyers,4
12758,117,2,2791.59,2,2,4,224,Steady Buyers,2
12759,52,3,1411.44,2,3,3,233,Steady Buyers,3
12763,138,2,494.08,2,2,2,222,Steady Buyers,2
12781,64,2,786.74,2,2,3,223,Steady Buyers,2
12784,15,1,476.82,4,1,2,412,Steady Buyers,1
12794,53,2,860.41,2,2,3,223,Steady Buyers,2
12795,19,1,318.48,3,1,2,312,Steady Buyers,1
12812,45,1,229.64,3,1,1,311,Steady Buyers,1
12816,96,2,452.2,2,2,2,222,Steady Buyers,2
12822,71,2,948.88,2,2,3,223,Steady Buyers,2
12823,75,5,1759.5,2,4,4,244,Steady Buyers,5
12832,32,2,383.03000000000003,3,2,2,322,Steady Buyers,2
12836,59,4,2610.36,2,3,4,234,Steady Buyers,4
12842,70,2,1118.99,2,2,3,223,Steady Buyers,2
12843,66,8,1702.26,2,4,4,244,Steady Buyers,8
12844,29,2,325.96,3,2,2,322,Steady Buyers,2
12853,135,6,1957.1,2,4,4,244,Steady Buyers,6
12854,79,3,1316.25,2,3,3,233,Steady Buyers,3
12871,84,2,380.64,2,2,2,222,Steady Buyers,2
12875,143,2,343.23,2,2,2,222,Steady Buyers,2
12876,58,2,2053.02,2,2,4,224,Steady Buyers,2
12885,63,3,1175.22,2,3,3,233,Steady Buyers,3
12886,68,2,1378.4,2,2,3,223,Steady Buyers,2
12890,24,1,376.71999999999997,3,1,2,312,Steady Buyers,1
12893,31,1,176.55,3,1,1,311,Steady Buyers,1
12895,42,2,372.8,3,2,2,322,Steady Buyers,2
12904,18,2,496.06,4,2,2,422,Steady Buyers,2
12916,139,4,2944.95,2,3,4,234,Steady Buyers,4
12920,17,1,162.78,4,1,1,411,Steady Buyers,1
12924,88,4,925.75,2,3,3,233,Steady Buyers,4
12930,78,2,415.8,2,2,2,222,Steady Buyers,2
12938,26,1,114.14,3,1,1,311,Steady Buyers,1
12939,64,8,11581.8,2,4,4,244,Steady Buyers,8
12940,55,2,899.69,2,2,3,223,Steady Buyers,2
12942,131,3,675.6,2,3,3,233,Steady Buyers,3
12944,36,2,604.51,3,2,2,322,Steady Buyers,2
12953,10,1,329.85,4,1,2,412,Steady Buyers,1
12962,7,2,266.39,4,2,1,421,Steady Buyers,2
12966,10,1,160.18,4,1,1,411,Steady Buyers,1
12981,30,2,372.21999999999997,3,2,2,322,Steady Buyers,2
12984,19,1,97.5,3,1,1,311,Steady Buyers,1
12987,74,2,558.7,2,2,2,222,Steady Buyers,2
12991,23,2,503.76,3,2,2,322,Steady Buyers,2
13000,107,3,534.85,2,3,2,232,Steady Buyers,3
13003,106,3,149.05,2,3,1,231,Steady Buyers,3
13015,53,5,3339.64,2,4,4,244,Steady Buyers,5
13016,73,3,789.89,2,3,3,233,Steady Buyers,3
13017,7,1,204.0,4,1,1,411,Steady Buyers,1
13023,64,2,599.9,2,2,2,222,Steady Buyers,2
13027,114,6,6912.0,2,4,4,244,Steady Buyers,6
13032,52,2,1010.18,2,2,3,223,Steady Buyers,2
13034,55,2,642.77,2,2,2,222,Steady Buyers,2
13035,74,2,921.88,2,2,3,223,Steady Buyers,2
13037,138,3,881.0699999999999,2,3,3,233,Steady Buyers,3
13038,80,3,908.46,2,3,3,233,Steady Buyers,3
13046,31,2,629.31,3,2,2,322,Steady Buyers,2
13047,57,9,3232.59,2,4,4,244,Steady Buyers,9
13049,64,2,656.6800000000001,2,2,2,222,Steady Buyers,2
13055,78,3,1214.41,2,3,3,233,Steady Buyers,3
13066,24,2,470.8,3,2,2,322,Steady Buyers,2
13068,10,2,344.0,4,2,2,422,Steady Buyers,2
13082,126,9,3613.63,2,4,4,244,Steady Buyers,9
13083,4,2,303.75,4,2,1,421,Steady Buyers,2
13091,28,1,345.82,3,1,2,312,Steady Buyers,1
13092,71,5,477.83,2,4,2,242,Steady Buyers,5
13103,40,1,243.94,3,1,1,311,Steady Buyers,1
13109,60,2,786.54,2,2,3,223,Steady Buyers,2
13122,94,2,922.39,2,2,3,223,Steady Buyers,2
13124,90,3,3756.33,2,3,4,234,Steady Buyers,3
13134,86,4,1793.58,2,3,4,234,Steady Buyers,4
13136,56,5,2607.61,2,4,4,244,Steady Buyers,5
13140,108,3,422.47,2,3,2,232,Steady Buyers,3
13141,85,5,2388.75,2,4,4,244,Steady Buyers,5
13142,19,1,307.09000000000003,3,1,2,312,Steady Buyers,1
13146,26,1,228.91,3,1,1,311,Steady Buyers,1
13153,6,1,486.22,4,1,2,412,Steady Buyers,1
13158,95,4,1201.06,2,3,3,233,Steady Buyers,4
13160,22,1,91.8,3,1,1,311,Steady Buyers,1
13162,122,4,1688.29,2,3,4,234,Steady Buyers,4
13169,64,2,712.88,2,2,3,223,Steady Buyers,2
13170,27,1,108.81,3,1,1,311,Steady Buyers,1
13173,4,2,353.65000000000003,4,2,2,422,Steady Buyers,2
13176,46,1,481.49,3,1,2,312,Steady Buyers,1
13182,45,1,121.18,3,1,1,311,Steady Buyers,1
13188,11,1,99.6,4,1,1,411,Steady Buyers,1
13189,19,2,260.68,3,2,1,321,Steady Buyers,2
13192,95,2,911.94,2,2,3,223,Steady Buyers,2
