CustomerID,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_score,Segment,Frequency_capped
12347,2,7,4310.0,4,4,4,444,Top Customers,7
12362,3,10,4737.23,4,4,4,444,Top Customers,10
12388,16,6,2780.66,4,4,4,444,Top Customers,6
12417,3,9,3226.1,4,4,4,444,Top Customers,9
12423,1,8,1634.31,4,4,4,444,Top Customers,8
12433,1,7,13375.87,4,4,4,444,Top Customers,7
12437,2,18,4447.41,4,4,4,444,Top Customers,18
12471,2,27,17388.649999999998,4,4,4,444,Top Customers,27
12474,17,18,6694.09,4,4,4,444,Top Customers,18
12476,16,11,5898.42,4,4,4,444,Top Customers,11
12483,17,8,1910.98,4,4,4,444,Top Customers,8
12490,5,10,4859.93,4,4,4,444,Top Customers,10
12524,9,8,3945.72,4,4,4,444,Top Customers,8
12528,9,6,1645.48,4,4,4,444,Top Customers,6
12553,8,10,3278.28,4,4,4,444,Top Customers,10
12562,8,7,3385.7400000000002,4,4,4,444,Top Customers,7
12569,2,32,3152.69,4,4,4,444,Top Customers,30
12583,3,15,6705.38,4,4,4,444,Top Customers,15
12584,4,9,2254.15,4,4,4,444,Top Customers,9
12598,10,7,2807.08,4,4,4,444,Top Customers,7
12619,16,8,2945.56,4,4,4,444,Top Customers,8
12621,2,20,12411.67,4,4,4,444,Top Customers,20
12627,11,6,4082.53,4,4,4,444,Top Customers,6
12662,1,11,3543.78,4,4,4,444,Top Customers,11
12664,8,9,4391.88,4,4,4,444,Top Customers,9
12681,15,22,12365.54,4,4,4,444,Top Customers,22
12682,4,31,11019.82,4,4,4,444,Top Customers,30
12683,4,14,7612.57,4,4,4,444,Top Customers,14
12684,8,6,2073.63,4,4,4,444,Top Customers,6
12704,7,8,1740.84,4,4,4,444,Top Customers,8
12705,15,8,6382.29,4,4,4,444,Top Customers,8
12709,15,15,9400.52,4,4,4,444,Top Customers,15
12720,3,25,5115.73,4,4,4,444,Top Customers,25
12727,11,7,3440.7,4,4,4,444,Top Customers,7
12747,2,11,4196.01,4,4,4,444,Top Customers,11
12748,1,206,31650.78,4,4,4,444,Top Customers,30
