CustomerID,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_score,Segment,Frequency_capped
12421,16,4,639.04,4,3,2,432,Regular Buyers,4
12498,21,3,349.7,3,3,2,332,Regular Buyers,3
12577,35,3,622.65,3,3,2,332,Regular Buyers,3
12654,11,5,529.98,4,3,2,432,Regular Buyers,5
12695,7,4,582.1,4,3,2,432,Regular Buyers,4
12787,10,3,418.65999999999997,4,3,2,432,Regular Buyers,3
12808,37,3,455.65000000000003,3,3,2,332,Regular Buyers,3
12827,6,3,430.15,4,3,2,432,Regular Buyers,3
12879,45,3,573.22,3,3,2,332,Regular Buyers,3
12933,24,3,607.53,3,3,2,332,Regular Buyers,3
12970,7,4,405.47,4,3,2,432,Regular Buyers,4
12990,31,3,409.5,3,3,2,332,Regular Buyers,3
12993,23,4,414.76,3,3,2,332,Regular Buyers,4
13058,25,3,271.40000000000003,3,3,1,331,Regular Buyers,3
13079,4,5,220.1,4,4,1,441,Regular Buyers,5
13145,40,4,618.52,3,3,2,332,Regular Buyers,4
13171,22,3,468.41,3,3,2,332,Regular Buyers,3
13247,18,4,501.12,4,3,2,432,Regular Buyers,4
13277,16,4,258.4,4,3,1,431,Regular Buyers,4
13318,1,3,640.76,4,3,2,432,Regular Buyers,3
13379,26,3,572.56,3,3,2,332,Regular Buyers,3
13427,19,3,582.6,3,3,2,332,Regular Buyers,3
13502,17,3,292.0,4,3,1,431,Regular Buyers,3
13524,41,5,650.18,3,4,2,342,Regular Buyers,5
13546,12,3,621.09,4,3,2,432,Regular Buyers,3
13558,6,4,594.52,4,3,2,432,Regular Buyers,4
13592,36,4,247.96,3,3,1,331,Regular Buyers,4
13606,29,3,276.75,3,3,1,331,Regular Buyers,3
13617,40,3,544.18,3,3,2,332,Regular Buyers,3
13643,31,3,519.44,3,3,2,332,Regular Buyers,3
13812,42,3,485.0,3,3,2,332,Regular Buyers,3
13892,27,4,632.97,3,3,2,332,Regular Buyers,4
13894,24,3,564.62,3,3,2,332,Regular Buyers,3
13928,11,4,464.57,4,3,2,432,Regular Buyers,4
13939,23,3,568.55,3,3,2,332,Regular Buyers,3
14034,22,3,648.89,3,3,2,332,Regular Buyers,3
14044,27,4,646.42,3,3,2,332,Regular Buyers,4
14077,41,5,499.42,3,4,2,342,Regular Buyers,5
14167,39,4,562.59,3,3,2,332,Regular Buyers,4
14173,11,4,450.84,4,3,2,432,Regular Buyers,4
14273,51,4,559.97,3,3,2,332,Regular Buyers,4
14287,8,3,176.63,4,3,1,431,Regular Buyers,3
14385,9,3,202.10999999999999,4,3,1,431,Regular Buyers,3
14467,18,4,596.26,4,3,2,432,Regular Buyers,4
14592,35,3,557.94,3,3,2,332,Regular Buyers,3
14593,22,3,617.15,3,3,2,332,Regular Buyers,3
14618,9,3,523.44,4,3,2,432,Regular Buyers,3
14710,14,4,599.48,4,3,2,432,Regular Buyers,4
14731,47,3,380.02,3,3,2,332,Regular Buyers,3
14765,29,3,254.11,3,3,1,331,Regular Buyers,3
14805,15,4,546.4,4,3,2,432,Regular Buyers,4
14820,21,4,507.29,3,3,2,332,Regular Buyers,4
14871,3,4,501.28000000000003,4,3,2,432,Regular Buyers,4
14910,3,4,434.35,4,3,2,432,Regular Buyers,4
14997,46,3,546.2,3,3,2,332,Regular Buyers,3
15018,39,3,496.21,3,3,2,332,Regular Buyers,3
15028,8,4,627.13,4,3,2,432,Regular Buyers,4
15031,4,4,653.19,4,3,2,432,Regular Buyers,4
15060,8,4,293.0,4,3,1,431,Regular Buyers,4
